time ax ay az
618676872861269 12.431013 5.646762 2.371886 
618676892918456 13.345968 6.243174 1.521237 
618676912942727 13.614264 6.957132 1.554736 
618676932967362 13.048959 7.009774 2.481955 
618676952991633 12.694522 6.576075 3.195914 
618676973003196 12.306586 6.245566 3.258127 
618676993027467 12.373585 6.509076 2.862713 
618677013054550 12.823734 6.734300 2.417349 
618677033078821 13.197614 6.806085 2.165804 
618677053095540 13.513765 6.973882 2.036292 
618677073119810 13.564014 6.918548 1.787139 
618677093128196 13.013067 6.901798 1.564607 
618677113152467 12.555440 6.633502 1.703391 
618677133196321 12.308979 6.619146 2.110769 
618677153220592 12.162718 6.887441 2.570490 
618677173221425 11.877672 6.846763 2.865106 
618677193245696 11.537593 6.717550 3.231806 
618677213304862 10.852348 6.377172 3.372983 
618677233329133 9.412766 5.749654 3.205485 
618677253344081 7.786245 5.186742 3.191128 
618677273368352 6.514161 5.141279 3.246163 
618677293379967 4.846961 4.762614 2.805285 
618677313404185 3.167798 4.815556 2.371886 
618677333421998 1.622633 4.331607 1.777568 
618677353446217 -1.000499 3.344568 0.941576 
618677373463612 -3.479762 3.085844 0.704387 
618677393487779 -3.561118 3.783053 1.626820 
618677413547467 -2.617449 4.820341 3.054438 
618677433571633 -3.099005 4.702794 2.450849 
618677453585175 -4.545765 4.204488 1.598106 
618677473609342 -6.279963 4.240381 1.945365 
618677493621894 -7.226325 4.065705 2.702394 
618677513646112 -8.313862 4.001099 3.078366 
618677533693717 -9.645767 3.955336 3.037688 
618677553717883 -10.879268 3.581756 3.420839 
618677573702519 -12.014960 3.462115 3.976572 
618677593726737 -12.599407 3.483651 4.427021 
618677613791112 -13.008880 3.610470 5.277370 
618677633815279 -13.147963 3.938586 6.084649 
618677653827519 -12.530016 4.240381 6.587740 
618677673851685 -11.648261 4.681258 6.934998 
618677693868456 -11.808879 4.769793 6.053542 
618677713892675 -12.215958 4.633402 5.267799 
618677733935227 -12.388540 4.326821 5.347061 
618677753959394 -12.570694 4.060919 5.399704 
618677773946269 -12.874882 3.972085 5.313262 
618677793970435 -12.891631 4.051348 5.140979 
618677814031477 -12.213565 4.245166 5.217550 
618677834055644 -11.025529 4.436892 5.215157 
618677854074915 -9.384650 4.578367 4.999504 
618677874099133 -7.674380 4.470391 4.391129 
618677894112779 -5.688338 4.508676 3.923930 
618677914136946 -3.211467 4.861019 3.133401 
618677934144706 -0.442373 5.256134 2.692823 
618677954168925 0.978365 5.773582 2.230410 
618677974225540 0.166301 5.359324 0.841077 
618677994249706 0.156431 4.168596 0.151047 
618678014237623 1.749452 3.993920 1.190728 
618678034261842 3.273082 4.130311 1.722533 
618678054310696 4.192823 3.474079 1.126122 
618678074334915 5.311767 2.865405 1.449452 
618678094345696 7.953743 2.788835 2.105983 
618678114369915 10.382756 3.653541 1.777568 
618678134377362 11.379367 4.669294 0.182154 
618678154401245 12.416656 5.601299 -0.912563 
618678174456401 12.117254 5.256134 -0.922134 
618678194480568 12.514762 5.459823 0.359522 
618678214500776 13.645370 6.499505 1.341775 
618678234524943 13.178471 6.343672 0.723530 
618678254538276 13.065709 6.166603 0.254237 
618678274562443 13.005888 6.015556 0.376271 
618678294602078 12.553046 5.879165 0.273380 
618678314626297 12.471691 6.070591 0.098405 
618678334662964 12.332907 6.017949 -0.208176 
618678354687235 12.474084 6.041877 0.107976 
618678374709787 13.094422 6.252745 0.625424 
618678394734058 13.580764 6.746264 0.766900 
618678414757860 13.408481 6.877870 0.551247 
618678434782078 12.828521 6.913762 0.469591 
618678454795985 12.375978 6.798906 1.135693 
618678474820255 11.580664 6.353243 1.540380 
618678494858068 10.222438 6.087341 1.574178 
618678514882287 8.873783 5.689833 2.000400 
618678534879526 7.738389 5.505287 2.354837 
618678554903797 6.382555 5.526822 1.770390 
