time ax ay az
2261322596846 -3.592225 -2.862115 12.526128
2261342625596 -3.031706 -2.160121 9.857532
2261362646898 -2.025823 -1.134796 6.374479
2261382659659 -0.492622 -0.351745 3.411268
2261402681013 2.240579 -0.140877 1.415953
2261422714919 6.777670 -0.471386 1.341775
2261442736273 10.682458 -0.859322 3.349054
2261462761794 14.802599 -1.779363 5.454738
2261482783148 17.914165 -0.550349 7.893324
2261502802628 19.780268 2.084448 8.923434
2261522823982 18.252151 2.721836 6.863214
2261542843878 14.213367 0.865304 1.602892
2261562865232 11.156535 -0.632004 -3.394219
2261582877836 11.187642 0.376570 -4.273282
2261602899242 14.095819 2.441576 -0.572184
2261622940232 15.332011 3.299104 0.529711
2261642961534 13.451551 2.982953 -1.784447
2261662975753 11.175678 2.388934 -3.820441
2261682997159 9.911072 2.496611 -3.803691
2261703021117 9.865309 2.954239 -2.043171
2261723042471 9.731311 3.045166 -1.171287
2261743057628 8.813962 2.702693 -1.393819
2261763078982 8.018648 2.520540 -1.475474
2261783104294 8.049754 2.539682 -1.310070
2261803125700 8.284551 2.582753 -0.883849
2261823143669 8.349156 2.558825 -0.210568
2261843165023 8.282157 2.408077 0.021835
2261863198825 8.339585 2.405684 -0.181855
2261883220180 8.013863 2.292922 -0.514756
2261903239138 7.424330 2.050948 -0.519542
2261923260492 7.103393 2.003092 -0.210568
2261943272940 6.947860 1.986342 -0.023629
2261963294242 6.495018 1.948057 -0.105284
2261983319294 6.099903 1.859522 -0.421436
2262003340596 5.716453 1.833201 -1.025025
2262023357003 3.991826 0.496511 -2.177170
2262043378253 1.831107 -2.914757 -1.906481
2262063392315 0.611665 -7.746464 3.370590
2262083413669 3.114857 -10.700105 18.052650
2262103425232 10.459626 -9.435199 40.131523
2262123446534 19.928923 -12.269198 43.387257
2262143455023 24.360430 -12.465409 23.382364
2262163476325 19.375582 -1.762613 11.002797
2262183545909 9.036494 1.452144 5.907580
2262203567263 4.564309 2.465505 2.819642
2262223571690 7.098608 7.191628 -2.208276
2262243593044 11.721840 9.664013 -3.068496
2262263605284 11.844173 4.132704 -0.613161
2262283626638 5.108078 -2.500500 1.411167
2262303640700 -2.200500 -1.556531 1.569393
2262323662055 -4.588836 -1.168595 -1.633401
2262343683513 -4.897809 -3.451348 -3.700799
2262363704815 -8.261220 -6.395417 -6.465108
2262383731430 -13.030415 -15.912570 -6.769295
2262403752784 -7.532905 -34.650166 7.249056
2262423759346 13.616656 -56.549576 40.023846
2262443780700 41.212780 -46.900520 78.914391
2262463803044 48.078087 -37.792839 70.582886
2262483824398 9.201899 -44.440399 16.155441
2262503876221 -8.795418 -34.841591 6.060720
2262523897523 14.675481 -19.309481 16.332510
2262543905805 21.004496 -7.928618 3.720540
2262563927107 17.255541 0.587438 -11.380564
2262583945753 19.262821 7.852945 -16.097416
2262603967107 18.335901 11.446067 -14.767903
2262624001169 11.808281 9.615857 -11.483754
2262644022523 4.626523 5.569893 -6.879664
2262664017315 -0.360718 3.227319 -1.343570
2262684038669 -3.038885 2.441576 1.976472
2262704101638 -4.068995 3.097808 3.634099
2262724122992 -2.468795 4.017848 5.718248
2262744096378 -0.597907 3.382853 8.058727
2262764117732 -1.604088 0.362214 9.273085
2262784191325 -4.092923 -2.140978 11.271092
2262804212680 -4.215256 -2.761317 12.468699
2262824203409 -2.799303 -1.812862 10.128220
2262844224711 -1.017249 -1.240379 6.273981
2262864233305 1.105185 -1.264308 5.289334
2262884254607 1.929213 -1.901397 6.072685
2262904297159 1.895714 -4.083651 5.900402
2262924318461 3.929314 -5.597710 7.840682
2262944364607 5.450551 -5.894719 13.893925
2262964385909 4.640880 -5.923432 17.132610
2262984418513 7.201798 -4.512564 14.560027
2263004439867 11.376974 -1.798505 9.608379
2263024462211 13.767703 -0.186341 5.770890
2263044483669 15.475580 0.604188 4.872684
2263064478825 15.312868 1.212563 5.682355
2263084500284 13.345968 1.679762 4.769494
2263104535336 12.014064 2.101496 3.126223
2263124556794 11.298011 2.458326 2.438884
2263144546690 9.975677 2.254637 2.187339
2263164568148 9.290433 1.969592 1.983650
2263184598669 9.185149 1.725225 2.211267
2263204620128 9.319147 1.598405 2.750251
2263224640857 9.372088 1.404288 3.107080
2263244662315 9.482158 1.224527 3.210271
2263264674190 9.676275 1.366003 2.965904
2263284695648 10.289436 1.703690 2.357229
2263304726690 11.312368 2.062912 1.583750
2263324748200 11.673984 2.367399 1.291526
2263344761273 11.355439 2.350350 1.286441
2263364782732 10.837991 2.458326 1.478166
2263384814919 10.684851 2.577967 1.554736
2263404836430 10.579268 2.640480 1.315454
2263424832784 10.167402 2.558825 1.334597
2263444854242 9.767203 2.491826 1.626820
2263464913148 9.707382 2.522932 1.734497
2263484934607 9.652348 2.544468 1.693819
2263504933513 9.012567 2.515754 1.672284
2263524954971 8.327621 2.359921 1.567000
2263544963565 7.939385 2.527718 1.260120
2263564985023 7.776674 2.733800 1.028016
2263585012107 7.297511 2.810370 0.711566
2263605033617 6.418447 2.736193 0.242273
2263625085700 5.682954 2.443969 0.036191
2263645107159 4.811069 2.084448 0.167797
2263665108617 2.726921 1.449751 -0.220140
2263685130128 -0.109173 -0.069093 -1.782055
2263705160128 -3.041278 -3.983152 -2.371287
2263725181586 -7.243074 -10.807781 3.179164
2263745172784 -9.576375 -20.995823 19.238295
2263765194242 -1.462912 -27.938000 42.407398
2263785219763 22.602304 -29.248369 60.251274
2263805241273 43.210487 -16.882860 46.048378
2263825299242 26.147570 -2.382952 1.648356
2263845320700 0.233300 -3.077768 -6.410073
2263865340805 2.544767 0.956232 6.352944
2263885362315 12.761521 7.045666 12.375380
2263905361273 11.412867 6.113662 3.833003
2263925382732 8.579166 5.105386 -2.356930
2263945425544 7.539485 0.755235 3.653242
2263965447003 5.354838 -1.863111 10.446765
2263985447471 3.711567 -2.078765 10.616954
2264005468982 -1.491626 -3.731607 5.744569
2264025494555 -6.335297 -3.120839 2.304587
2264045515857 -10.496117 -1.544567 -1.839482
2264065526013 -17.989241 -6.021837 -11.280065
2264085547367 -16.194923 -19.563419 -4.922635
2264105571378 -4.780560 -44.255852 18.279968
2264125592680 18.951454 -54.216278 61.956760
2264145642367 57.022758 -35.174793 78.914391
2264165663669 50.059048 -28.603802 51.989155
2264185641950 -7.654939 -34.575687 0.781257
2264205663305 -13.248461 -22.869102 4.355237
2264225688461 13.971393 -6.570392 14.638989
2264245709815 17.535801 3.256033 1.085444
2264265775388 14.100605 8.090134 -11.196317
2264285796742 11.161322 8.363214 -12.231212
2264305780492 7.970492 5.622834 -8.819944
2264325801794 5.390730 3.507579 -5.619544
2264345823825 2.659921 2.458326 -3.389433
2264365845128 0.446561 2.345564 -2.088635
2264385894815 -0.566800 2.585146 -0.950848
2264405916117 -0.813560 2.611467 0.467199
2264425903617 -0.248255 1.871486 2.575275
2264445924919 0.618844 -0.406780 4.290630
2264465937159 0.480060 -3.130410 5.018646
2264485958461 0.777069 -4.874180 4.810471
2264505993409 3.433701 -5.583353 5.097908
2264526014711 7.992327 -4.907679 6.698109
2264546046273 11.685947 -4.311268 8.154441
2264566067628 13.001102 -3.863511 8.549556
2264586086325 13.552051 -2.634498 8.971291
