time gx gy gz
2131723769079 -0.310382 0.783878 -0.402658
2131743790120 -0.301860 0.853118 -0.491072
2131763810225 -0.256055 0.808379 -0.814903
2131783831266 -0.186815 0.945794 -1.363498
2131803852985 -0.151663 1.248320 -1.832201
2131823874079 -0.177228 1.480541 -2.379730
2131843897047 -0.183620 1.472019 -3.160546
2131863918141 0.054993 1.419822 -3.979711
2131883965120 0.589740 1.363365 -4.611527
2131903986214 1.248054 0.975620 -5.015250
2131923998402 1.841388 0.323698 -5.458387
2131944019495 2.109827 -0.496532 -5.954786
2131964035381 2.032065 -1.354044 -6.339335
2131984056422 1.722082 -2.037924 -6.372357
2132004075016 1.245923 -2.291449 -6.059179
2132024096058 0.715437 -2.269079 -5.520171
2132044130641 0.309583 -2.181730 -4.888487
2132064151683 0.016644 -1.968684 -4.417521
2132084185485 -0.254990 -1.982532 -4.135235
2132104206527 -0.362579 -2.289319 -3.458812
2132124188870 0.231821 -1.997445 -1.062037
2132144209964 2.118349 -0.552989 4.196086
2132164254600 3.985836 1.560433 11.055387
2132184275641 4.239361 3.765599 16.849323
2132204283245 2.070414 7.165956 21.124237
2132224304287 -4.516056 12.718083 23.088526
2132244314079 -13.973460 11.908506 17.077284
2132264335172 -11.237942 -1.601178 5.051601
2132284360225 2.327135 -4.144023 -3.253222
2132304381266 5.946929 -1.367892 -4.604070
2132324429391 1.732735 0.684812 -3.564270
2132344450485 0.462977 1.564694 -4.354672
2132364449183 2.852295 -0.423031 -7.834922
2132384470277 4.595149 -3.454817 -11.768961
2132404505537 3.989031 -4.840685 -13.895299
2132424526631 2.135393 -4.237763 -13.797164
2132444538662 0.278692 -3.697690 -13.001435
2132464559704 -1.295856 -3.827649 -12.591321
2132484584756 -1.128614 -2.313819 -8.837306
2132504605850 1.423817 0.714638 2.564149
2132524638141 3.879179 2.696105 15.597674
2132544659235 3.129255 4.608198 23.454035
2132564661735 -1.790124 7.927598 24.520332
2132584682829 -5.736946 3.103024 14.831772
2132604731422 -1.326748 -4.729901 1.349783
2132624752516 3.376389 -3.281184 -1.865223
2132644773870 1.468557 1.059774 -0.110784
2132664794964 -0.933677 2.419144 0.011718
2132684815120 0.106124 0.691203 -0.944862
2132704836162 1.335403 -0.760710 -1.446586
2132724843506 1.222488 -0.851254 -1.186670
2132744864600 0.730350 -0.476292 -0.663640
2132764879183 0.495999 -0.196136 -0.270569
2132784900277 0.492803 -0.250463 -0.066044
2132804921006 0.408650 -0.251528 0.066044
2132824942100 0.172168 -0.124765 0.148201
2132844963350 -0.115445 0.048868 0.103328
2132864984443 -0.296534 0.218240 0.057523
2132885017464 -0.264577 0.253392 0.106523
2132905038610 -0.056857 0.159652 0.145005
2132925052672 0.142342 0.013715 0.092675
2132945073818 0.156190 -0.038482 -0.026631
2132965099391 0.044340 0.012650 -0.129958
2132985120537 -0.095205 0.173500 -0.199199
2133005132360 -0.153793 0.326893 -0.215177
2133025153506 -0.107988 0.339676 -0.276961
2133045161839 -0.050465 0.286415 -0.432485
2133065182985 -0.016378 0.242740 -0.554986
2133085221318 -0.006791 0.272566 -0.643401
2133105242412 -0.041944 0.429156 -0.773359
2133125240693 -0.129293 0.652855 -0.999189
2133145261839 -0.249664 0.799857 -1.409303
2133165291787 -0.288012 0.782813 -1.960029
