time gx gy gz
2257178210544 0.492803 -1.134606 -0.574161
2257198231950 0.483216 -1.090932 -0.592270
2257218252055 0.294670 -0.884277 -0.681749
2257238273461 0.149798 -1.020626 -0.802120
2257258292992 0.294670 -1.839791 -0.948057
2257278314398 0.639806 -3.105421 -1.145126
2257298337680 0.824091 -3.925650 -1.337933
2257318359034 0.542869 -3.832975 -1.348585
2257338363096 -0.272034 -2.834852 -0.999189
2257358384450 -1.807168 -0.500793 0.010652
2257378408773 -4.802603 3.991428 2.051772
2257398430180 -8.929449 10.408525 5.015383
2257418460805 -12.024084 16.851320 9.007876
2257438482159 -10.481627 19.552752 13.946430
2257458469398 -1.486533 18.210558 15.513521
2257478490805 9.940621 16.123766 6.450252
2257498538930 10.163255 8.147036 -3.253222
2257518560284 2.167350 1.929004 -1.104647
2257538588930 1.047790 -0.180158 1.805703
2257558610284 5.079830 -3.944824 -0.624227
2257578620180 3.776917 -4.305938 -2.197576
2257598641586 1.089334 -5.455325 -2.787715
2257618663461 1.935129 -10.357660 -3.617531
2257638684867 4.032706 -14.417397 -3.827382
2257658652888 5.502728 -15.478369 -3.315005
2257678674294 6.222825 -14.625116 -2.363752
2257698745128 6.303783 -12.731133 -1.393325
2257718766534 3.894093 -8.275129 0.725557
2257738788461 -3.944025 1.049121 5.873961
2257758809815 -13.089317 9.692688 12.529671
2257778833773 -17.494188 14.033647 16.900455
2257798855180 -10.713847 19.822256 15.529500
2257818893461 4.524844 22.332077 9.427579
2257838914867 11.411708 12.129009 4.530569
2257858893982 8.982977 1.181210 5.324301
2257878915336 7.456365 1.560433 6.630277
2257898973930 7.283797 4.084104 4.830033
2257918995284 4.881697 5.389014 3.208615
2257939005388 2.474137 4.298215 1.804638
2257959026742 1.500514 1.052317 0.337812
2257979037159 0.810243 -1.125019 -0.608248
2257999058513 -0.373231 -1.216629 -0.843665
2258019091325 -1.401314 -0.934343 -0.733946
2258039112680 -1.640991 -1.642722 -0.759511
2258059130700 -1.457771 -2.971201 -1.064168
2258079152055 -1.691057 -4.042826 -1.477478
2258099187055 -2.316349 -4.473180 -1.689460
2258119208409 -2.740312 -4.757597 -1.677742
2258139223617 -2.593310 -5.706719 -1.672416
2258159244919 -1.781602 -6.663299 -1.604241
2258179280180 -0.853784 -6.720821 -1.219692
2258199301482 -0.574560 -6.481144 -0.562443
2258219312055 -0.459515 -6.600450 -0.013848
